filename,mood,energy,valence,arousal,color_temperature,complexity,motion_speed,style,brightness,label_source
Function - Against The Wall.mp3,aggressive,1.0,,,0.148,0.277,0.146,lorenz,0.072,clap
Function - Binaural.mp3,aggressive,1.0,,,0.245,0.687,0.354,lorenz,0.084,clap
Function - Burn (original mix).mp3,neutral,0.226,,,0.023,0.399,0.043,harmonograph,0.526,clap
Function - Disaffected (Original Mix).mp3,aggressive,1.0,,,0.128,0.214,0.265,lorenz,0.11,clap
Förm - KR012 - 03 Sleeping With Ghosts.wav,neutral,1.0,,,0.557,0.574,0.118,thomas,0.608,clap
Förm - KR012 - 04 Spooky Scary Skeletons.wav,neutral,0.046,,,0.078,0.759,0.257,dejong,0.649,clap
Galaxian - Glasgow to Detroit (Mixed).mp3,neutral,0.946,,,0.067,0.944,0.756,thomas,0.532,clap
Galaxian - Private Tyranny (Mixed).mp3,aggressive,1.0,,,0.036,0.887,0.103,thomas,0.467,clap
Gegen Dungeon - Chemtrailz (Amuck Remix).mp3,energetic,1.0,,,0.05,0.437,0.02,lorenz,0.242,clap
Hadone - Hope Reminds Me Of Her.mp3,neutral,0.487,,,0.096,0.267,0.535,chladni,0.171,clap
Hardfloor - Acperience 1.mp3,calm,0.812,,,0.585,0.505,0.326,chladni,0.083,clap
How Soon Is Now (Maceo Plex Edit).mp3,neutral,1.0,,,0.256,0.868,0.891,aizawa,0.721,clap
Hyden - Rhun (Jks Remix) [Smile Sessions].mp3,energetic,1.0,,,0.132,0.718,0.097,lorenz,0.25,clap
I Hate Models 'Sorrows Of The Moon' 01. Forest Spirits.mp3,neutral,1.0,,,0.328,0.804,0.126,lorenz,0.278,clap
I Hate Models - Daydream [ARTS020].mp3,energetic,1.0,,,0.018,0.81,0.04,lorenz,0.132,clap
I-Hate-Models-Sorrows-Of-The-Moon-Original-Mix-Arts.mp3,neutral,1.0,,,0.504,0.847,0.184,lorenz,0.279,clap
Introversion - force majeure.mp3,energetic,1.0,,,0.042,0.602,0.053,lorenz,0.242,clap
JKS - Express Yourself.mp3,neutral,0.497,,,0.04,0.881,0.159,thomas,0.641,clap
Jaquarius - Metamine (Mixed).mp3,calm,1.0,,,0.165,0.894,0.244,lorenz,0.339,clap
Jay Pei - Dark Horse.mp3,aggressive,1.0,,,0.343,0.478,0.532,lorenz,0.108,clap
Jon Hopkins - Singularity (ANNA Remix).mp3,neutral,0.67,,,0.27,0.98,0.648,chladni,0.368,clap
Kaiserdisco - Taipan (Original Mix).mp3,neutral,1.0,,,0.041,0.535,0.364,lorenz,0.323,clap
Kakoon - Skylight [Alaula Music].mp3,calm,0.289,,,0.921,0.566,0.707,dejong,1.0,clap
Kangding Ray - De Tomaso Pantera.mp3,neutral,1.0,,,0.37,0.727,0.4,lorenz,0.306,clap
Karenn - On Request.mp3,neutral,0.218,,,0.016,0.785,0.118,chladni,0.479,clap
Kawasaki (Original Mix).mp3,aggressive,1.0,,,0.075,0.188,0.083,lorenz,0.193,clap
Kazuya Nagaya - Thanatos (Dubfire Remix).mp3,aggressive,1.0,,,0.203,0.416,0.2,lorenz,0.06,clap
Keith Carnal - Rijwiel (Original Mix) - 3A - 129.mp3,aggressive,1.0,,,0.092,0.327,0.071,lorenz,0.062,clap
Kettama - Body.mp3,neutral,1.0,,,0.544,0.615,0.362,aizawa,0.77,clap
Kettama - Higher (Steel City Power House).mp3,neutral,0.718,,,0.122,0.861,0.164,thomas,0.639,clap
Kiko And Gino - Estasi.mp3,neutral,1.0,,,0.438,0.42,0.456,thomas,0.549,clap
"Klanglos - Nothing Can Save You, Accept Darkness (Original Mix).mp3",calm,0.349,,,0.031,0.845,0.087,dejong,0.507,clap
Lmajor - Hallucin8 (Original Mix).mp3,neutral,0.762,,,0.097,0.828,0.482,thomas,0.641,clap
Loek Frey - Arcana.mp3,melancholic,0.679,,,0.092,0.681,0.064,waveform,0.091,clap
Lucas Sosa (AR) - Lucifer.mp3,neutral,1.0,,,0.091,0.619,0.166,lorenz,0.171,clap
"Luigi Madonna, Roberto Capuano - Midfield (Original Mix).mp3",calm,1.0,,,0.129,0.25,0.144,chladni,0.055,clap
MELD - Bolam - Break Yo' Self (MELD002) - 01 Break Yo' Self.mp3,calm,0.559,,,0.274,0.871,0.58,chladni,0.319,clap
Machino - Ministerio (Mixed).mp3,neutral,1.0,,,0.038,0.872,0.262,chladni,0.372,clap
Mall Grab - Elegy.mp3,aggressive,1.0,,,0.063,0.655,0.363,lorenz,0.095,clap
Mall Grab - Positive Energy Forever.mp3,neutral,0.966,,,0.013,0.625,0.212,chladni,0.194,clap
Mall Grab - Sheer Fuck-Offness.mp3,neutral,1.0,,,0.246,0.926,0.441,aizawa,0.826,clap
Mall Grab - Strangers - 02 -.mp3,neutral,0.658,,,0.071,0.765,0.187,chladni,0.397,clap
Mall Grab - Temperature Rising.mp3,neutral,1.0,,,0.187,0.897,0.093,thomas,0.547,clap
Marcal - Ainozama [www.slider.kz].mp3,neutral,1.0,,,0.038,0.77,0.037,lorenz,0.178,clap
Marcel Dettmann - Phantom Studies.mp3,neutral,0.181,,,0.018,0.453,0.085,waveform,0.282,clap
Mark Reeve - Golden (Original Mix) .mp3,neutral,1.0,,,0.384,0.514,0.138,lorenz,0.349,clap
Melawati - Daliah (Maceo Plex Remix).mp3,neutral,1.0,,,0.39,0.643,0.621,lorenz,0.299,clap
Michael Klein - Ponzu (Industrialyzer Remix).mp3,neutral,1.0,,,0.182,0.627,0.085,lorenz,0.305,clap
Michael Klein - Superstition (oliver deutschmann remix).mp3,energetic,1.0,,,0.027,0.498,0.033,lorenz,0.228,clap
Mike Parker - Living Colossus.mp3,neutral,1.0,,,0.032,0.646,0.134,thomas,0.559,clap
Minotia - I Hate Models & Anetha T.mp3,neutral,0.152,,,0.098,0.223,0.216,harmonograph,0.306,clap
Moby - My Only Love (Tale Of Us & Anyma Remix).mp3,neutral,1.0,,,0.713,0.504,0.359,lorenz,0.371,clap
Moby - Tecie (Mind Against Celestial Mix) - www.djsoundtop.com.mp3,aggressive,1.0,,,0.858,0.673,0.532,thomas,0.605,clap
Oona Dahl - Godtripper (Patrice Baumel Psychoactive Rework) [Watergate Records].mp3,aggressive,1.0,,,0.73,0.305,0.646,lorenz,0.271,clap
Patrice Bäumel - Roar (Adana Twins Remix - mixed).mp3,energetic,1.0,,,0.393,0.66,0.482,lorenz,0.375,clap
Patrick Milaa - Presence of Mind (Original Mix).mp3,aggressive,1.0,,,0.124,0.455,0.067,lorenz,0.171,clap
Phara - In Dubio (Original Mix)-BeanOfTech.mp3,aggressive,1.0,,,0.182,0.588,0.198,lorenz,0.119,clap
Phara - In Dubio (Original Mix).mp3,aggressive,1.0,,,0.216,0.602,0.176,lorenz,0.119,clap
"Pjotr G, Dubiosity - A Man Is No Island (Original Mix) [Planet Rhythm].mp3",energetic,1.0,,,0.004,0.113,0.02,lorenz,0.031,clap
Planetary Assault Systems - Bang Wap.mp3,neutral,1.0,,,0.096,0.619,0.073,thomas,0.491,clap
Pleasurekraft - At the Mountains of Madness (Original Mix).mp3,calm,0.372,,,0.143,0.683,0.17,dejong,0.987,clap
Pryda - Mirage (Original Mix).mp3,neutral,0.608,,,0.875,0.967,0.995,chladni,0.363,clap
Push - Universal Nation (Bart Skils Remix) - 7A - 127.mp3,neutral,1.0,,,0.312,0.315,0.223,thomas,0.438,clap
Q.U.A.K.E & Aaron Suiss - Creation of Reality (Original Mix).mp3,calm,0.592,,,0.587,0.785,0.489,dejong,0.503,clap
RAW - RAW Summer Hits II - Special Edits - 05 JKS - Get Crackin'.mp3,neutral,1.0,,,0.076,0.596,0.21,chladni,0.39,clap
"Ramiro Lopez, Andres Campo - Pachamama (Coyu Raw Mix).mp3",energetic,1.0,,,0.187,0.434,0.062,lorenz,0.367,clap
Red Rooms - Sunbeams (Original Mix).mp3,neutral,1.0,,,0.171,0.538,0.117,chladni,0.086,clap
Reinier Zonneveld - Dance With The Devil (Original Mix).mp3,neutral,1.0,,,0.401,0.167,0.358,chladni,0.053,clap
Rohar Nerves viers Remix Off173.mp3,energetic,1.0,,,0.365,0.793,0.351,lorenz,0.376,clap
Roman Flügel - Pattern Four.mp3,neutral,1.0,,,0.328,0.879,0.911,lorenz,0.376,clap
Rosati - Bloody Cash (Original Mix).mp3,energetic,1.0,,,0.495,0.646,0.298,lorenz,0.198,clap
Rosati - Inside (Original Mix).mp3,neutral,1.0,,,0.338,0.738,0.364,thomas,0.576,clap
SHDW & Obscure Shape - Bisswunden (Introversion Version).wav.wav,energetic,1.0,,,0.03,0.253,0.069,lorenz,0.134,clap
SHXCXCHCXSH - Drain This Lord.mp3,neutral,0.502,,,0.239,0.83,0.012,harmonograph,0.461,clap
SNTS - Es19.1.mp3,aggressive,1.0,,,0.012,0.245,0.144,lorenz,0.12,clap
SNTS - Pvrest Absolvtion.mp3,neutral,1.0,,,0.11,0.708,0.024,lorenz,0.38,clap
Schwefelgelb - Fokus.mp3,neutral,0.8,,,0.016,0.947,0.619,thomas,0.443,clap
Second Skin - Bare Hands (Original Mix).mp3,calm,1.0,,,0.298,0.474,0.011,chladni,0.443,clap
Setaoc Mass - Silent Tension.mp3,calm,1.0,,,0.073,0.264,0.065,chladni,0.057,clap
Shlomo - Burned Hand Emmanuel Remix.mp3,neutral,0.32,,,0.075,0.395,0.068,chladni,0.234,clap
Shlomo - Vertigo.mp3,energetic,1.0,,,0.065,0.719,0.018,lorenz,0.318,clap
Si Begg - P1 Tek 2 Neu Anfang.mp3,aggressive,1.0,,,0.167,0.676,0.288,lorenz,0.084,clap
Sleeparchive - Papercup.mp3,aggressive,1.0,,,0.069,0.568,0.067,lorenz,0.088,clap
Sleeparchive -Glass.mp3,energetic,1.0,,,0.307,0.907,0.648,thomas,0.513,clap
Slv (De) - Far From The Madding (Original Mix).mp3,energetic,0.787,,,0.171,0.791,0.061,lorenz,0.185,clap
So 1992 (Original Mix).mp3,aggressive,1.0,,,0.097,0.742,0.215,lorenz,0.21,clap
Solee - Impressed (Rework) [Parquet Recordings].mp3,neutral,1.0,,,0.122,0.13,0.62,chladni,0.055,clap
Stef Mendesidis - Hunt.mp3,aggressive,1.0,,,0.031,0.759,0.065,lorenz,0.124,clap
Subtopia - The Mob Rules (Umwelt Remix) (Mixed).mp3,neutral,0.537,,,0.005,0.865,0.164,chladni,0.418,clap
Superintelligence (Clever Mix).mp3,neutral,0.298,,,0.011,0.949,0.533,harmonograph,0.483,clap
Swart - Death To The Quarantine.mp3,energetic,1.0,,,0.039,0.443,0.055,thomas,0.486,clap
Terence Fixmer - Aktion Mekanik Theme (44 Version) [ClapCrate.com].mp3,neutral,1.0,,,0.16,0.767,0.071,thomas,0.466,clap
Terence Fixmer - Body Pressure.mp3,aggressive,0.871,,,0.005,0.879,0.079,lorenz,0.229,clap
The Advent - High Horse (Original Mix).mp3,neutral,1.0,,,0.063,0.705,0.121,lorenz,0.249,clap
The Advent - Planting Seeds - 03 Scorched.mp3,neutral,1.0,,,0.042,0.586,0.265,lorenz,0.158,clap
The Nighttripper - Phuture (Robert Hood Remix).mp3,energetic,1.0,,,0.164,0.844,0.219,thomas,0.541,clap
This Hmming Raverie.mp3,energetic,1.0,,,0.289,0.878,0.081,lorenz,0.236,clap
Timo Maas feat. Rottler - Utopie (Murat Uncuoglu Remix).mp3,aggressive,1.0,,,0.187,0.309,0.298,lorenz,0.202,clap
"Timo Maas, Rottler - Utopie (Original Mix) - www.djsoundtop.com.mp3",neutral,0.487,,,0.529,0.631,0.394,dejong,0.604,clap
Truncate - First Phase.mp3,energetic,1.0,,,0.09,0.616,0.038,lorenz,0.246,clap
Turk Turkelton - Pony.mp3,neutral,1.0,,,0.526,0.552,0.456,aizawa,0.742,clap
Turk Turkelton Karaffe.mp3,neutral,1.0,,,0.216,0.26,0.349,thomas,0.634,clap
UVB - Mixtion ss.mp3,neutral,1.0,,,0.272,0.881,0.268,lorenz,0.288,clap
Unbalance - Warehouse Tool 1.mp3,aggressive,1.0,,,0.154,0.879,0.195,lorenz,0.221,clap
Under Black Helmet - Impulsive Behavior.mp3,energetic,1.0,,,0.009,0.659,0.03,lorenz,0.056,clap
Unwelt - Endless Blackness.mp3,melancholic,0.601,,,0.171,0.953,0.717,chladni,0.361,clap
Usaw - Runaway (Original Mix) [Usaw].mp3,neutral,1.0,,,0.397,0.846,0.241,lorenz,0.17,clap
Virtualmismo - Mismoplastico (Virtual Mix).mp3,neutral,1.0,,,0.03,0.983,0.979,lorenz,0.36,clap
Vizionn - Bang That Box.mp3,calm,1.0,,,0.02,0.657,0.098,chladni,0.228,clap
Vladimir Dubyshkin - Pigeon Epilepsy.mp3,energetic,1.0,,,0.058,0.701,0.402,lorenz,0.194,clap
Vril;Rødhåd - Apophenia.mp3,energetic,1.0,,,0.006,0.755,0.03,lorenz,0.346,clap
Waterfall.mp3,neutral,0.864,,,0.121,0.07,0.097,thomas,0.624,clap
Yamaha.mp3,neutral,0.381,,,0.481,0.559,0.523,chladni,0.168,clap
drfloyd.mp3,neutral,1.0,,,0.108,0.931,0.923,chladni,0.375,clap
jeff mills - reverting.mp3,energetic,1.0,,,0.071,0.776,0.359,thomas,0.557,clap
leinaD - FROM SKIMASK 2 FACEMASK EP - 03 leinaD - From Skimask 2 Facemask.mp3,neutral,1.0,,,0.054,0.863,0.438,chladni,0.186,clap
morganistic - 3 - it makes it.mp3,aggressive,0.977,,,0.059,0.554,0.033,lorenz,0.109,clap
wehbba-coup_of_doubt-323eb95a.mp3,neutral,0.578,,,0.429,0.879,0.749,chladni,0.175,clap
2.mp3,,,0.262,0.25,,,,,,deam
3.mp3,,,0.312,0.288,,,,,,deam
4.mp3,,,0.588,0.562,,,,,,deam
5.mp3,,,0.425,0.538,,,,,,deam
7.mp3,,,0.6,0.675,,,,,,deam
8.mp3,,,0.275,0.475,,,,,,deam
10.mp3,,,0.375,0.462,,,,,,deam
12.mp3,,,0.562,0.6,,,,,,deam
13.mp3,,,0.275,0.375,,,,,,deam
17.mp3,,,0.425,0.625,,,,,,deam
18.mp3,,,0.475,0.362,,,,,,deam
19.mp3,,,0.612,0.412,,,,,,deam
20.mp3,,,0.55,0.688,,,,,,deam
21.mp3,,,0.7,0.662,,,,,,deam
22.mp3,,,0.375,0.475,,,,,,deam
24.mp3,,,0.538,0.362,,,,,,deam
25.mp3,,,0.862,0.462,,,,,,deam
31.mp3,,,0.462,0.35,,,,,,deam
32.mp3,,,0.4,0.288,,,,,,deam
35.mp3,,,0.475,0.688,,,,,,deam
37.mp3,,,0.7,0.538,,,,,,deam
39.mp3,,,0.788,0.55,,,,,,deam
40.mp3,,,0.45,0.475,,,,,,deam
41.mp3,,,0.412,0.512,,,,,,deam
42.mp3,,,0.638,0.512,,,,,,deam
43.mp3,,,0.712,0.312,,,,,,deam
44.mp3,,,0.362,0.488,,,,,,deam
45.mp3,,,0.512,0.138,,,,,,deam
46.mp3,,,0.538,0.375,,,,,,deam
47.mp3,,,0.425,0.425,,,,,,deam
48.mp3,,,0.438,0.475,,,,,,deam
49.mp3,,,0.362,0.538,,,,,,deam
50.mp3,,,0.325,0.475,,,,,,deam
51.mp3,,,0.325,0.275,,,,,,deam
52.mp3,,,0.45,0.512,,,,,,deam
53.mp3,,,0.412,0.512,,,,,,deam
54.mp3,,,0.262,0.288,,,,,,deam
55.mp3,,,0.6,0.55,,,,,,deam
56.mp3,,,0.675,0.6,,,,,,deam
58.mp3,,,0.288,0.3,,,,,,deam
59.mp3,,,0.538,0.387,,,,,,deam
60.mp3,,,0.412,0.675,,,,,,deam
62.mp3,,,0.65,0.362,,,,,,deam
64.mp3,,,0.325,0.488,,,,,,deam
65.mp3,,,0.675,0.6,,,,,,deam
67.mp3,,,0.775,0.725,,,,,,deam
68.mp3,,,0.35,0.488,,,,,,deam
69.mp3,,,0.275,0.362,,,,,,deam
70.mp3,,,0.425,0.325,,,,,,deam
71.mp3,,,0.612,0.338,,,,,,deam
72.mp3,,,0.712,0.575,,,,,,deam
73.mp3,,,0.6,0.575,,,,,,deam
74.mp3,,,0.25,0.412,,,,,,deam
76.mp3,,,0.412,0.275,,,,,,deam
77.mp3,,,0.4,0.238,,,,,,deam
78.mp3,,,0.3,0.362,,,,,,deam
79.mp3,,,0.562,0.562,,,,,,deam
80.mp3,,,0.625,0.512,,,,,,deam
81.mp3,,,0.638,0.362,,,,,,deam
82.mp3,,,0.238,0.312,,,,,,deam
83.mp3,,,0.638,0.6,,,,,,deam
84.mp3,,,0.612,0.575,,,,,,deam
85.mp3,,,0.762,0.65,,,,,,deam
86.mp3,,,0.55,0.575,,,,,,deam
87.mp3,,,0.538,0.2,,,,,,deam
88.mp3,,,0.712,0.562,,,,,,deam
89.mp3,,,0.438,0.475,,,,,,deam
90.mp3,,,0.412,0.4,,,,,,deam
91.mp3,,,0.438,0.562,,,,,,deam
92.mp3,,,0.6,0.462,,,,,,deam
93.mp3,,,0.775,0.625,,,,,,deam
95.mp3,,,0.288,0.45,,,,,,deam
96.mp3,,,0.725,0.738,,,,,,deam
98.mp3,,,0.412,0.213,,,,,,deam
99.mp3,,,0.412,0.387,,,,,,deam
101.mp3,,,0.3,0.225,,,,,,deam
102.mp3,,,0.688,0.55,,,,,,deam
103.mp3,,,0.575,0.288,,,,,,deam
104.mp3,,,0.638,0.288,,,,,,deam
105.mp3,,,0.688,0.5,,,,,,deam
106.mp3,,,0.45,0.288,,,,,,deam
107.mp3,,,0.625,0.475,,,,,,deam
108.mp3,,,0.438,0.4,,,,,,deam
109.mp3,,,0.425,0.438,,,,,,deam
110.mp3,,,0.425,0.225,,,,,,deam
111.mp3,,,0.538,0.538,,,,,,deam
112.mp3,,,0.725,0.675,,,,,,deam
113.mp3,,,0.55,0.35,,,,,,deam
114.mp3,,,0.475,0.588,,,,,,deam
115.mp3,,,0.925,0.85,,,,,,deam
116.mp3,,,0.425,0.362,,,,,,deam
117.mp3,,,0.362,0.5,,,,,,deam
118.mp3,,,0.488,0.45,,,,,,deam
119.mp3,,,0.412,0.275,,,,,,deam
120.mp3,,,0.35,0.5,,,,,,deam
121.mp3,,,0.262,0.362,,,,,,deam
122.mp3,,,0.562,0.45,,,,,,deam
123.mp3,,,0.638,0.65,,,,,,deam
124.mp3,,,0.338,0.225,,,,,,deam
125.mp3,,,0.438,0.4,,,,,,deam
126.mp3,,,0.512,0.638,,,,,,deam
127.mp3,,,0.25,0.538,,,,,,deam
128.mp3,,,0.325,0.375,,,,,,deam
129.mp3,,,0.4,0.625,,,,,,deam
130.mp3,,,0.288,0.4,,,,,,deam
131.mp3,,,0.638,0.488,,,,,,deam
133.mp3,,,0.225,0.15,,,,,,deam
134.mp3,,,0.55,0.625,,,,,,deam
135.mp3,,,0.338,0.312,,,,,,deam
136.mp3,,,0.725,0.65,,,,,,deam
137.mp3,,,0.412,0.6,,,,,,deam
138.mp3,,,0.35,0.175,,,,,,deam
140.mp3,,,0.4,0.438,,,,,,deam
142.mp3,,,0.45,0.475,,,,,,deam
143.mp3,,,0.375,0.488,,,,,,deam
144.mp3,,,0.3,0.462,,,,,,deam
145.mp3,,,0.262,0.55,,,,,,deam
146.mp3,,,0.175,0.312,,,,,,deam
148.mp3,,,0.462,0.5,,,,,,deam
149.mp3,,,0.3,0.262,,,,,,deam
150.mp3,,,0.5,0.55,,,,,,deam
151.mp3,,,0.375,0.438,,,,,,deam
152.mp3,,,0.425,0.575,,,,,,deam
153.mp3,,,0.362,0.438,,,,,,deam
154.mp3,,,0.4,0.387,,,,,,deam
155.mp3,,,0.325,0.55,,,,,,deam
156.mp3,,,0.675,0.712,,,,,,deam
157.mp3,,,0.375,0.65,,,,,,deam
158.mp3,,,0.138,0.325,,,,,,deam
159.mp3,,,0.35,0.262,,,,,,deam
160.mp3,,,0.312,0.312,,,,,,deam
161.mp3,,,0.662,0.312,,,,,,deam
162.mp3,,,0.338,0.45,,,,,,deam
163.mp3,,,0.325,0.438,,,,,,deam
164.mp3,,,0.387,0.238,,,,,,deam
166.mp3,,,0.262,0.4,,,,,,deam
167.mp3,,,0.213,0.288,,,,,,deam
168.mp3,,,0.288,0.3,,,,,,deam
169.mp3,,,0.175,0.225,,,,,,deam
170.mp3,,,0.25,0.5,,,,,,deam
171.mp3,,,0.138,0.325,,,,,,deam
172.mp3,,,0.35,0.5,,,,,,deam
173.mp3,,,0.45,0.15,,,,,,deam
174.mp3,,,0.375,0.35,,,,,,deam
175.mp3,,,0.338,0.412,,,,,,deam
176.mp3,,,0.175,0.362,,,,,,deam
177.mp3,,,0.475,0.575,,,,,,deam
178.mp3,,,0.225,0.338,,,,,,deam
179.mp3,,,0.525,0.625,,,,,,deam
180.mp3,,,0.475,0.612,,,,,,deam
181.mp3,,,0.338,0.188,,,,,,deam
182.mp3,,,0.15,0.338,,,,,,deam
184.mp3,,,0.325,0.3,,,,,,deam
185.mp3,,,0.488,0.45,,,,,,deam
186.mp3,,,0.338,0.375,,,,,,deam
187.mp3,,,0.188,0.338,,,,,,deam
188.mp3,,,0.375,0.288,,,,,,deam
189.mp3,,,0.688,0.762,,,,,,deam
190.mp3,,,0.225,0.262,,,,,,deam
191.mp3,,,0.512,0.662,,,,,,deam
192.mp3,,,0.6,0.638,,,,,,deam
193.mp3,,,0.387,0.25,,,,,,deam
194.mp3,,,0.213,0.462,,,,,,deam
195.mp3,,,0.4,0.213,,,,,,deam
196.mp3,,,0.412,0.438,,,,,,deam
197.mp3,,,0.15,0.225,,,,,,deam
198.mp3,,,0.112,0.288,,,,,,deam
199.mp3,,,0.538,0.588,,,,,,deam
201.mp3,,,0.338,0.475,,,,,,deam
202.mp3,,,0.45,0.525,,,,,,deam
203.mp3,,,0.312,0.475,,,,,,deam
204.mp3,,,0.325,0.15,,,,,,deam
205.mp3,,,0.25,0.438,,,,,,deam
206.mp3,,,0.162,0.2,,,,,,deam
207.mp3,,,0.475,0.475,,,,,,deam
208.mp3,,,0.475,0.688,,,,,,deam
209.mp3,,,0.262,0.45,,,,,,deam
210.mp3,,,0.4,0.562,,,,,,deam
211.mp3,,,0.262,0.488,,,,,,deam
212.mp3,,,0.45,0.55,,,,,,deam
213.mp3,,,0.2,0.188,,,,,,deam
214.mp3,,,0.325,0.387,,,,,,deam
215.mp3,,,0.275,0.2,,,,,,deam
216.mp3,,,0.438,0.538,,,,,,deam
217.mp3,,,0.312,0.475,,,,,,deam
218.mp3,,,0.238,0.375,,,,,,deam
219.mp3,,,0.175,0.35,,,,,,deam
220.mp3,,,0.387,0.3,,,,,,deam
221.mp3,,,0.412,0.3,,,,,,deam
222.mp3,,,0.35,0.412,,,,,,deam
223.mp3,,,0.15,0.312,,,,,,deam
224.mp3,,,0.562,0.588,,,,,,deam
225.mp3,,,0.338,0.4,,,,,,deam
226.mp3,,,0.488,0.5,,,,,,deam
227.mp3,,,0.262,0.312,,,,,,deam
228.mp3,,,0.312,0.375,,,,,,deam
229.mp3,,,0.475,0.475,,,,,,deam
231.mp3,,,0.387,0.575,,,,,,deam
232.mp3,,,0.188,0.213,,,,,,deam
233.mp3,,,0.462,0.438,,,,,,deam
234.mp3,,,0.312,0.362,,,,,,deam
235.mp3,,,0.25,0.338,,,,,,deam
236.mp3,,,0.188,0.175,,,,,,deam
237.mp3,,,0.4,0.362,,,,,,deam
238.mp3,,,0.25,0.45,,,,,,deam
239.mp3,,,0.162,0.288,,,,,,deam
240.mp3,,,0.675,0.7,,,,,,deam
241.mp3,,,0.387,0.45,,,,,,deam
242.mp3,,,0.312,0.462,,,,,,deam
243.mp3,,,0.775,0.387,,,,,,deam
244.mp3,,,0.412,0.4,,,,,,deam
245.mp3,,,0.4,0.638,,,,,,deam
246.mp3,,,0.488,0.275,,,,,,deam
247.mp3,,,0.362,0.438,,,,,,deam
248.mp3,,,0.3,0.338,,,,,,deam
250.mp3,,,0.3,0.325,,,,,,deam
253.mp3,,,0.7,0.188,,,,,,deam
254.mp3,,,0.538,0.8,,,,,,deam
257.mp3,,,0.825,0.738,,,,,,deam
258.mp3,,,0.412,0.412,,,,,,deam
260.mp3,,,0.538,0.325,,,,,,deam
262.mp3,,,0.575,0.738,,,,,,deam
264.mp3,,,0.538,0.562,,,,,,deam
265.mp3,,,0.438,0.675,,,,,,deam
266.mp3,,,0.325,0.475,,,,,,deam
269.mp3,,,0.412,0.475,,,,,,deam
270.mp3,,,0.638,0.762,,,,,,deam
272.mp3,,,0.612,0.675,,,,,,deam
273.mp3,,,0.55,0.775,,,,,,deam
274.mp3,,,0.838,0.625,,,,,,deam
275.mp3,,,0.538,0.562,,,,,,deam
276.mp3,,,0.638,0.538,,,,,,deam
278.mp3,,,0.562,0.512,,,,,,deam
279.mp3,,,0.325,0.462,,,,,,deam
280.mp3,,,0.4,0.288,,,,,,deam
281.mp3,,,0.55,0.75,,,,,,deam
282.mp3,,,0.275,0.4,,,,,,deam
284.mp3,,,0.425,0.525,,,,,,deam
285.mp3,,,0.312,0.512,,,,,,deam
286.mp3,,,0.588,0.738,,,,,,deam
288.mp3,,,0.312,0.525,,,,,,deam
289.mp3,,,0.588,0.712,,,,,,deam
290.mp3,,,0.138,0.362,,,,,,deam
292.mp3,,,0.788,0.8,,,,,,deam
293.mp3,,,0.662,0.4,,,,,,deam
294.mp3,,,0.562,0.688,,,,,,deam
296.mp3,,,0.612,0.588,,,,,,deam
297.mp3,,,0.262,0.325,,,,,,deam
298.mp3,,,0.375,0.55,,,,,,deam
299.mp3,,,0.225,0.412,,,,,,deam
300.mp3,,,0.725,0.438,,,,,,deam
301.mp3,,,0.275,0.338,,,,,,deam
302.mp3,,,0.7,0.75,,,,,,deam
303.mp3,,,0.75,0.675,,,,,,deam
304.mp3,,,0.35,0.45,,,,,,deam
305.mp3,,,0.675,0.725,,,,,,deam
306.mp3,,,0.588,0.712,,,,,,deam
307.mp3,,,0.638,0.725,,,,,,deam
308.mp3,,,0.412,0.7,,,,,,deam
309.mp3,,,0.538,0.6,,,,,,deam
310.mp3,,,0.138,0.213,,,,,,deam
311.mp3,,,0.6,0.738,,,,,,deam
312.mp3,,,0.45,0.6,,,,,,deam
313.mp3,,,0.325,0.538,,,,,,deam
314.mp3,,,0.6,0.612,,,,,,deam
315.mp3,,,0.675,0.812,,,,,,deam
316.mp3,,,0.225,0.312,,,,,,deam
317.mp3,,,0.638,0.412,,,,,,deam
318.mp3,,,0.612,0.612,,,,,,deam
319.mp3,,,0.438,0.7,,,,,,deam
320.mp3,,,0.8,0.7,,,,,,deam
321.mp3,,,0.788,0.625,,,,,,deam
322.mp3,,,0.638,0.825,,,,,,deam
323.mp3,,,0.478,0.591,,,,,,deam
324.mp3,,,0.288,0.462,,,,,,deam
325.mp3,,,0.562,0.55,,,,,,deam
326.mp3,,,0.55,0.775,,,,,,deam
327.mp3,,,0.625,0.762,,,,,,deam
328.mp3,,,0.525,0.4,,,,,,deam
329.mp3,,,0.288,0.4,,,,,,deam
330.mp3,,,0.612,0.262,,,,,,deam
332.mp3,,,0.562,0.738,,,,,,deam
333.mp3,,,0.712,0.638,,,,,,deam
334.mp3,,,0.612,0.612,,,,,,deam
335.mp3,,,0.725,0.725,,,,,,deam
336.mp3,,,0.638,0.7,,,,,,deam
338.mp3,,,0.25,0.35,,,,,,deam
339.mp3,,,0.612,0.738,,,,,,deam
340.mp3,,,0.35,0.45,,,,,,deam
341.mp3,,,0.35,0.425,,,,,,deam
342.mp3,,,0.375,0.512,,,,,,deam
343.mp3,,,0.75,0.888,,,,,,deam
344.mp3,,,0.45,0.525,,,,,,deam
345.mp3,,,0.775,0.688,,,,,,deam
346.mp3,,,0.712,0.788,,,,,,deam
347.mp3,,,0.352,0.602,,,,,,deam
348.mp3,,,0.5,0.588,,,,,,deam
349.mp3,,,0.45,0.6,,,,,,deam
